ID,Q2,Q3,Q3.17.s,Q4,Q5,Q6.1,Q6.2,Q6.3,Q7.1,Q7.2,Q7.3,Q8.1,Q8.2,Q8.3,Q9.1,Q9.2,Q9.3,Q10.1,Q10.2,Q10.3,Q11.1,Q11.2,Q11.3,Q12.1,Q12.2,Q12.3,Q12.4,Q13.1,Q13.2,Q13.3,Q13.4,Q14.1,Q14.2,Q14.3,Q15.1,Q15.2,Q15.3,Q16.1,Q16.2,Q16.3,Q16.4,Q17.1,Q17.2,Q17.3,Q17.4,Q18.1,Q18.2,Q18.3,Q18.4,Q18.5,Q18.6,Q18.7,Q19.1,Q19.2,Q19.3,Q19.4,Q19.5,Q19.6,Q19.7,Q20.1,Q20.2,Q20.3,Q20.4,Q20.5,Q20.6,Q20.7,Q21.1,Q21.2,Q21.3,Q21.4,Q21.5,Q21.6,Q21.7,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32
168,I worked in an office environment most of the time,"Industrial (e.g. Manufacturing, Construction, Engineering, etc.)",,Technical Staff,"3 days working remotely, 2 days in the office",3,4,4,2,3,1,4,3,1,1,3,2,3,3,4,2,2,2,2,2,4,4,3,3,1,3,4,3,1,3,1,3,3,1,3,3,1,2,1,1,3,2,3,2,2,3,3,2,2,3,1,2,2,2,4,3,2,2,3,4,3,3,2,3,3,2,4,3,24,18-24,Male,Living with my parents,"$80,000 - $99,999",Married,Other,Full-time work,University/Higher Education,New York,Northeast
169,I worked in an office environment most of the time,"Healthcare (e.g. Medical, Mental Health, Outpatient Care)",,Professional Staff,Full time (5 days) working remotely,4,5,3,5,5,5,3,4,4,5,5,5,4,4,4,5,5,5,4,4,5,5,5,5,5,4,5,4,5,4,5,5,5,4,4,4,5,5,4,5,5,4,4,4,4,4,5,5,4,5,5,3,4,5,5,5,4,5,4,4,5,4,5,4,4,5,4,5,36,35-44,Female,Rented house,"$25,000 - $49,999",Single / Never married,White,Full-time work,University/Higher Education,Colorado,West
174,I worked in an office environment all of the time,"Education (e.g. Primary Education, Secondary Education, Post-graduate Education)",,Professional Staff,Full time (5 days) working remotely,2,4,2,3,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,3,4,4,4,4,3,4,2,3,4,4,4,3,3,3,3,3,3,3,4,4,4,4,2,4,2,4,4,4,4,4,4,4,30,25-34,Female,Rented house,"$50,000 - $79,999",Single / Never married,White,Full-time work,University/Higher Education,Texas,South
175,I worked in an office environment most of the time,"Consumer Goods (e.g. Commercial Goods, Fashion & Beauty, Food & Beverage, Automotive, Personal Electronics)",,Partner/Vice President,Full time (5 days) working remotely,1,5,5,4,5,3,4,5,4,5,4,4,4,5,4,4,5,5,4,5,5,5,5,4,4,5,4,5,5,4,5,5,5,5,4,5,5,4,5,4,4,4,5,5,4,5,5,5,3,4,5,4,4,5,5,4,5,4,4,5,4,5,4,3,4,3,4,5,34,25-34,Male,Rented house,#NULL!,Married,Black or African American,Full-time work,High school/Tertiary/Tech. College,Mississippi,South
176,I worked in an office environment some of the time,"Energy (e.g. Gas/Oil, Mining, Utilities, Alternative Energy)",,Administrative or Support Staff,Full time (5 days) working remotely,4,4,2,4,3,4,4,4,4,3,3,4,4,4,4,4,3,4,4,2,2,2,4,2,3,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,3,4,4,5,4,4,5,4,4,4,4,4,4,4,4,64,55-99,Male,Owned house,"$80,000 - $99,999",Married,White,Full-time work,High school/Tertiary/Tech. College,Alabama,South
177,I worked in an office environment all of the time,"Management Advisory (e.g. Accounting, Consulting, Business Services, Real Estate, Development)",,Professional Staff,"2 days working remotely, 3 days in the office",5,5,4,4,4,3,4,5,4,4,5,4,5,5,5,5,5,5,5,3,5,5,5,4,5,5,4,5,5,3,3,5,4,5,5,3,4,5,4,3,5,5,2,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5,3,5,3,5,5,5,4,3,5,5,29,25-34,Male,Rented house,"$200,000 or more",Married,White,Full-time work,University/Higher Education,Minnesota,Midwest
178,I worked in an office environment all of the time,"Healthcare (e.g. Medical, Mental Health, Outpatient Care)",,Professional Staff,Full-time (5 days) in the office,3,4,4,5,5,5,4,4,3,4,4,3,4,4,4,4,4,5,3,4,4,4,4,3,4,4,4,4,4,4,4,2,4,4,4,4,4,4,5,5,2,2,2,3,4,2,2,2,2,2,3,3,1,2,2,2,4,2,2,2,2,2,2,2,3,4,1,4,45,45-54,Female,Rented apartment,"$50,000 - $79,999",Married,White,Full-time work,University/Higher Education,Texas,South
179,I worked in an office environment all of the time,"Industrial (e.g. Manufacturing, Construction, Engineering, etc.)",,Manager,Full time (5 days) working remotely,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,5,4,4,4,5,5,5,5,5,4,5,4,5,5,42,35-44,Male,Owned house,"$80,000 - $99,999",Married,White,Full-time work,Postgraduate Education,Oklahoma,South
182,I worked in an office environment most of the time,"Industrial (e.g. Manufacturing, Construction, Engineering, etc.)",,Administrative or Support Staff,Full time (5 days) working remotely,5,5,3,3,5,5,5,4,5,5,4,5,4,4,4,5,5,5,4,2,5,4,4,2,4,5,4,5,5,5,5,5,3,5,3,4,5,5,5,5,5,5,3,5,5,2,5,5,5,4,5,5,4,3,2,2,5,4,1,2,3,3,3,4,5,3,1,3,39,35-44,Male,#NULL!,"$25,000 - $49,999",#NULL!,Black or African American,Full-time work,Postgraduate Education,Texas,South
183,I worked in an office environment most of the time,"Technology (e.g. Internet. Hardware, Software, Telecommunications, eCommerce)",,Executive Leadership,"2 days working remotely, 3 days in the office",5,4,5,4,4,5,4,4,4,5,5,5,5,4,4,5,4,5,5,4,4,5,5,5,5,4,4,5,4,4,5,5,4,5,4,5,4,5,5,4,4,5,4,5,4,5,4,5,4,4,4,5,5,4,5,4,4,5,5,5,4,5,5,3,4,4,4,5,33,25-34,Female,#NULL!,"$50,000 - $79,999",#NULL!,Asian,Full-time work,University/Higher Education,New Jersey,Northeast
184,I worked in an office environment all of the time,"Design (e.g. Architecture, Interior Design, Graphic Design, Industrial Design, Product Design, UX, Service Design)",,Manager,"3 days working remotely, 2 days in the office",5,4,4,2,5,5,5,5,4,5,4,5,5,4,4,4,4,5,5,3,4,5,5,3,4,4,5,5,4,5,5,5,4,5,5,3,5,3,5,5,4,5,5,5,4,5,3,5,3,5,5,5,5,3,5,4,5,4,4,4,4,4,5,4,3,4,5,3,32,25-34,Female,Owned house,#NULL!,Married,Asian,Full-time work,University/Higher Education,New York,Northeast
187,I worked in an office environment all of the time,"Healthcare (e.g. Medical, Mental Health, Outpatient Care)",,Director,Full time (5 days) working remotely,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,5,4,4,3,3,4,4,4,4,4,3,3,4,4,3,3,5,4,4,4,4,5,4,3,4,3,4,4,4,4,45,45-54,Female,Owned house,#NULL!,Single / Never married,Black or African American,Full-time work,University/Higher Education,Texas,South
188,I worked in an office environment all of the time,"Sciences (e.g. Pharma, Biotech, Life Sciences, Forensics & Diagnostics, Medical Hardware & Robotics)",,Technical Staff,Full time (5 days) working remotely,3,4,4,4,4,5,4,4,4,5,5,5,2,3,4,5,5,5,4,4,4,4,5,3,4,5,5,3,4,4,5,3,4,2,4,4,4,5,4,4,3,2,4,3,3,4,2,5,4,4,4,4,5,4,2,2,4,3,2,3,3,4,4,4,4,4,5,4,45,45-54,Female,Owned house,"$200,000 or more",Married,White,Full-time work,University/Higher Education,Pennsylvania,Northeast
193,I worked in an office environment all of the time,"Technology (e.g. Internet. Hardware, Software, Telecommunications, eCommerce)",,Director,Full time (5 days) working remotely,5,5,4,5,4,5,4,5,5,5,5,4,4,5,5,5,4,4,5,5,5,4,4,5,5,4,4,5,5,5,4,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,5,4,4,5,5,5,5,5,5,5,4,4,29,25-34,Male,Owned house,"$100,000 - $149,999",Single / Never married,Black or African American,Full-time work,High school/Tertiary/Tech. College,Florida,South
194,I worked in an office environment all of the time,"Healthcare (e.g. Medical, Mental Health, Outpatient Care)",,Administrative or Support Staff,Full-time (5 days) in the office,4,5,3,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,4,4,4,3,4,2,4,5,4,2,4,4,3,4,5,3,3,4,4,4,4,4,4,4,3,4,3,4,3,4,4,60,55-99,Female,Owned apartment,"$50,000 - $79,999",Married,Black or African American,Full-time work,University/Higher Education,North Carolina,South
195,I worked in an office environment most of the time,"Financial Services (e.g. Banking, Insurance, FinTech, Private Equity)",,Professional Staff,"2 days working remotely, 3 days in the office",4,4,5,3,3,5,5,4,5,4,3,4,4,4,4,4,4,4,4,3,5,4,5,3,5,3,4,4,5,3,5,4,4,4,5,4,5,4,4,4,4,4,3,4,4,3,4,4,3,3,5,5,3,5,5,4,5,4,3,5,4,4,4,3,5,4,3,5,18,18-24,Female,Other,#NULL!,Single / Never married,Other,Full-time work,University/Higher Education,Florida,South
196,I worked in an office environment some of the time,"Education (e.g. Primary Education, Secondary Education, Post-graduate Education)",,Professional Staff,Full-time (5 days) in the office,4,4,4,4,4,4,3,4,4,4,5,4,4,4,3,5,4,4,4,3,5,3,5,4,4,3,4,5,4,4,5,3,3,4,2,3,4,3,5,3,2,4,4,2,3,4,4,4,3,5,4,3,3,5,2,2,4,4,4,4,2,4,3,3,4,4,3,4,45,45-54,Female,Other,#NULL!,Single / Never married,White,Full-time work,University/Higher Education,Idaho,West
198,I worked in an office environment most of the time,"Industrial (e.g. Manufacturing, Construction, Engineering, etc.)",,Manager,"4 days working remotely, 1 day in the office",4,4,5,5,5,5,4,4,5,5,4,4,5,4,4,4,4,4,5,4,5,4,3,3,3,4,5,5,5,4,5,4,5,4,4,5,5,4,5,4,5,4,3,4,5,5,4,3,4,4,5,4,4,2,4,4,4,5,5,5,4,3,4,3,5,4,4,4,66,55-99,Male,Rented house,"$25,000 - $49,999",Divorced,White,Full-time work,University/Higher Education,Ohio,Midwest
202,I worked in an office environment all of the time,Other (please specify),Retail,Manager,Full time (5 days) working remotely,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,2,4,5,5,5,4,5,3,4,4,5,4,4,5,3,4,4,5,4,4,5,4,4,68,55-99,Female,Owned house,"$25,000 - $49,999",Divorced,White,Full-time work,University/Higher Education,North Carolina,South
203,I worked in an office environment all of the time,"Energy (e.g. Gas/Oil, Mining, Utilities, Alternative Energy)",,Manager,Full time (5 days) working remotely,4,4,5,4,5,4,5,4,5,5,4,4,5,4,4,4,4,5,4,4,4,5,4,4,4,5,5,5,4,5,4,4,4,5,5,5,4,5,4,5,5,5,4,4,5,4,5,4,5,5,4,4,4,4,4,5,4,4,4,4,5,5,4,5,5,4,4,4,25,25-34,Male,Rented apartment,"$50,000 - $79,999",Single / Never married,Black or African American,Full-time work,University/Higher Education,Illinois,Midwest
205,I worked in an office environment all of the time,"Financial Services (e.g. Banking, Insurance, FinTech, Private Equity)",,Director,"3 days working remotely, 2 days in the office",2,3,2,4,4,4,2,2,2,5,5,5,1,4,1,5,5,5,2,2,2,2,5,5,5,5,1,1,5,5,5,5,1,1,1,1,5,5,5,5,2,2,2,2,2,2,2,5,5,5,5,5,5,5,2,3,2,3,2,3,2,3,2,2,3,2,3,2,60,55-99,Female,Owned house,#NULL!,Married,American Indian or Alaska Native,Full-time work,University/Higher Education,Florida,South
206,I worked in an office environment all of the time,Other (please specify),Other,Manager,Full time (5 days) working remotely,4,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,3,4,5,5,4,5,5,4,3,4,5,5,5,4,5,4,5,5,5,4,5,4,4,5,5,5,3,35,35-44,Male,#NULL!,"$100,000 - $149,999",#NULL!,White,Full-time work,Postgraduate Education,Texas,South
208,I worked in an office environment all of the time,"Healthcare (e.g. Medical, Mental Health, Outpatient Care)",,Administrative or Support Staff,Full-time (5 days) in the office,4,5,4,4,5,5,4,5,4,5,5,5,4,5,5,4,5,5,5,5,5,4,4,5,4,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,4,4,4,4,5,5,5,4,5,4,4,5,4,4,4,5,4,5,5,5,4,58,55-99,Female,Rented apartment,#NULL!,Single / Never married,White,Full-time work,University/Higher Education,New Jersey,Northeast
209,I worked in an office environment all of the time,"Healthcare (e.g. Medical, Mental Health, Outpatient Care)",,Administrative or Support Staff,Full-time (5 days) in the office,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,4,4,5,5,5,5,4,4,5,4,5,4,5,4,5,4,5,4,4,4,4,4,5,4,5,4,5,5,4,5,5,4,4,4,3,4,3,3,4,4,5,4,4,4,4,5,4,4,4,5,3,4,39,35-44,Female,Owned house,#NULL!,Single / Never married,White,Full-time work,University/Higher Education,Iowa,Midwest
210,I worked in an office environment all of the time,"Government / Defense (e.g. Government Agencies, Defense Contractors, Intelligence, Federal Civilian)",,Professional Staff,Full time (5 days) working remotely,2,4,4,2,4,5,3,2,2,3,2,4,3,4,4,3,3,2,4,2,4,4,3,4,3,4,4,3,1,2,2,1,1,4,3,2,5,4,5,5,2,1,1,2,2,1,1,4,3,4,4,2,4,5,5,2,2,4,2,4,1,4,3,4,4,2,5,4,35,35-44,Male,Owned house,"$100,000 - $149,999",Divorced,White,Full-time work,University/Higher Education,Virginia,South
211,I worked in an office environment all of the time,"Hospitality (e.g. Hotel, Leisure, Travel)",,Professional Staff,Full-time (5 days) in the office,4,4,5,5,5,5,4,5,5,4,5,5,5,4,4,5,4,4,4,2,2,4,3,2,2,4,5,5,4,5,5,2,4,5,5,4,4,4,5,4,4,5,3,4,4,5,5,5,5,2,5,4,5,5,3,3,4,3,3,3,3,2,3,3,2,2,3,2,69,55-99,Male,Rented apartment,"$25,000 - $49,999",Single / Never married,White,Full-time work,University/Higher Education,California,West
212,I worked in an office environment all of the time,"Healthcare (e.g. Medical, Mental Health, Outpatient Care)",,Manager,Full time (5 days) working remotely,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,4,4,5,5,5,5,5,4,5,4,5,4,4,4,5,5,5,5,5,5,5,5,4,4,5,24,18-24,Male,Owned house,"$100,000 - $149,999",Married,Black or African American,Full-time work,High school/Tertiary/Tech. College,Florida,South
214,I worked in an office environment all of the time,Other (please specify),Library,Professional Staff,Full time (5 days) working remotely,4,4,4,3,4,4,4,4,4,3,3,3,2,3,4,4,4,3,4,4,2,3,4,4,4,4,4,4,4,3,3,2,4,2,4,4,3,4,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,39,35-44,Female,Rented apartment,#NULL!,Single / Never married,Black or African American,Full-time work,Postgraduate Education,Ohio,Midwest
215,I worked in an office environment all of the time,"Consumer Goods (e.g. Commercial Goods, Fashion & Beauty, Food & Beverage, Automotive, Personal Electronics)",,Professional Staff,Full-time (5 days) in the office,1,1,1,5,5,5,1,1,1,5,5,5,4,2,1,5,4,5,1,1,1,4,5,5,5,5,3,2,1,5,3,1,1,1,2,1,5,5,5,5,2,5,4,2,2,1,1,5,5,5,5,4,1,5,5,5,5,5,1,5,5,5,5,5,5,3,4,5,54,45-54,Male,Owned apartment,"$100,000 - $149,999",Married,Hispanic or Latino,Full-time work,High school/Tertiary/Tech. College,Texas,South
217,I worked in an office environment all of the time,"Financial Services (e.g. Banking, Insurance, FinTech, Private Equity)",,Manager,Full time (5 days) working remotely,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,4,4,5,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,44,35-44,Female,Owned house,"$50,000 - $79,999",Married,Black or African American,Full-time work,University/Higher Education,Maryland,South
220,I worked in an office environment most of the time,"Education (e.g. Primary Education, Secondary Education, Post-graduate Education)",,Manager,"4 days working remotely, 1 day in the office",1,4,1,4,5,5,1,4,3,1,2,5,4,1,5,3,5,5,5,5,1,2,5,2,5,2,5,4,4,5,3,4,4,1,5,4,5,3,5,4,5,5,5,4,5,5,4,5,4,1,5,5,3,5,1,2,5,4,1,5,5,1,1,5,5,1,3,3,21,18-24,Male,Owned house,#NULL!,Single / Never married,White,Full-time work,High school/Tertiary/Tech. College,Georgia,South
222,I worked in an office environment all of the time,"Financial Services (e.g. Banking, Insurance, FinTech, Private Equity)",,Professional Staff,Full time (5 days) working remotely,3,4,4,5,5,5,5,3,5,5,3,5,4,3,3,4,3,3,4,4,3,5,5,5,5,5,3,4,4,5,5,5,3,1,3,2,5,5,5,5,2,4,1,3,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27,25-34,Female,Owned house,"$25,000 - $49,999",Single / Never married,Asian,Full-time work,University/Higher Education,Indiana,Midwest
225,I worked in an office environment all of the time,"Foundations / Associations / Organizations (e.g. Non-profit, NGO)",,Director,Full-time (5 days) in the office,2,4,2,4,4,4,2,3,3,4,4,4,2,3,2,4,4,4,3,2,3,3,4,4,4,4,4,4,4,4,4,4,3,2,3,2,4,4,4,4,2,4,2,2,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,29,25-34,Female,Owned house,"$50,000 - $79,999",Married,White,Full-time work,University/Higher Education,Georgia,South
226,I worked in an office environment all of the time,"Management Advisory (e.g. Accounting, Consulting, Business Services, Real Estate, Development)",,Manager,Full-time (5 days) in the office,4,4,4,4,4,4,4,5,5,5,5,4,4,5,5,5,5,4,4,4,5,4,5,4,5,4,4,4,4,4,4,5,4,5,4,4,4,5,4,4,4,4,4,4,4,4,5,5,4,5,4,5,5,4,5,5,4,4,5,4,4,5,5,5,5,5,5,4,36,35-44,Female,Owned house,"$80,000 - $99,999",Married,White,Full-time work,Postgraduate Education,Oklahoma,South
227,I worked in an office environment all of the time,"Financial Services (e.g. Banking, Insurance, FinTech, Private Equity)",,Professional Staff,"2 days working remotely, 3 days in the office",5,5,4,5,5,5,5,5,4,5,5,4,3,5,5,3,4,4,5,5,4,4,4,4,4,4,4,4,4,3,3,4,4,4,5,4,5,5,5,3,5,5,5,2,5,5,4,5,4,3,4,4,3,4,5,5,5,5,5,5,5,5,4,5,5,5,4,5,58,55-99,Male,Owned apartment,"$100,000 - $149,999",Married,White,Full-time work,University/Higher Education,Ohio,Midwest
228,I worked in an office environment all of the time,"Government / Defense (e.g. Government Agencies, Defense Contractors, Intelligence, Federal Civilian)",,Manager,Full-time (5 days) in the office,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,4,4,5,4,3,4,3,3,3,3,4,4,4,4,4,4,3,3,3,4,4,4,3,3,4,4,3,3,3,4,3,3,3,3,4,3,3,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,53,45-54,Male,Owned house,"$100,000 - $149,999",Married,White,Full-time work,University/Higher Education,Texas,South
229,I worked in an office environment some of the time,"Foundations / Associations / Organizations (e.g. Non-profit, NGO)",,Manager,"4 days working remotely, 1 day in the office",5,4,1,5,5,5,5,4,5,5,4,5,4,1,1,4,4,4,1,1,1,2,5,4,5,4,1,1,1,5,5,4,1,1,1,3,4,5,5,5,1,1,2,1,1,4,1,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,42,35-44,Female,Rented house,"$150,000 - $199,999",Married,White,Full-time work,University/Higher Education,Pennsylvania,Northeast
230,I worked in an office environment some of the time,"Government / Defense (e.g. Government Agencies, Defense Contractors, Intelligence, Federal Civilian)",,Administrative or Support Staff,Full-time (5 days) in the office,4,4,4,4,4,5,4,5,4,4,4,4,5,4,3,4,5,5,2,2,2,4,5,4,3,4,5,3,4,5,4,3,2,2,2,2,4,5,5,4,4,5,1,4,3,4,4,5,4,4,4,4,5,5,4,3,4,4,2,4,3,5,3,5,4,4,5,4,58,55-99,Male,Owned house,"$80,000 - $99,999",Domestic partnership / Living with partner,White,Full-time work,High school/Tertiary/Tech. College,Massachusetts,Northeast
231,I worked in an office environment all of the time,"Consumer Goods (e.g. Commercial Goods, Fashion & Beauty, Food & Beverage, Automotive, Personal Electronics)",,Administrative or Support Staff,Full-time (5 days) in the office,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,31,25-34,Female,Rented apartment,"$50,000 - $79,999",Single / Never married,White,Full-time work,University/Higher Education,Florida,South
233,I worked in an office environment all of the time,"Financial Services (e.g. Banking, Insurance, FinTech, Private Equity)",,Administrative or Support Staff,Full time (5 days) working remotely,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,3,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,39,35-44,Female,Owned house,"$50,000 - $79,999",Married,White,Full-time work,University/Higher Education,Florida,South
234,I worked in an office environment some of the time,"Healthcare (e.g. Medical, Mental Health, Outpatient Care)",,Manager,"3 days working remotely, 2 days in the office",4,5,4,4,5,5,4,4,4,5,4,4,4,5,5,4,4,5,4,4,4,4,4,3,3,4,5,5,5,4,4,3,4,4,4,5,3,5,4,4,4,4,4,5,4,5,4,5,4,3,4,4,4,3,4,4,4,5,4,5,5,4,4,3,3,5,4,4,57,55-99,Female,Owned apartment,"$50,000 - $79,999",Divorced,White,Full-time work,University/Higher Education,Alabama,South
236,I worked in an office environment all of the time,"Management Advisory (e.g. Accounting, Consulting, Business Services, Real Estate, Development)",,Director,"3 days working remotely, 2 days in the office",4,4,4,3,4,3,4,3,4,3,3,4,3,3,4,3,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,4,3,4,4,3,4,3,3,4,4,3,4,4,3,3,4,3,4,3,4,3,3,3,3,3,4,3,4,3,3,4,3,3,3,4,3,4,31,25-34,Male,Owned house,"$50,000 - $79,999",Married,White,Full-time work,University/Higher Education,South Carolina,South
237,I worked in an office environment most of the time,"Energy (e.g. Gas/Oil, Mining, Utilities, Alternative Energy)",,Administrative or Support Staff,Full time (5 days) working remotely,1,4,4,5,5,4,2,3,2,4,2,3,1,3,1,3,4,4,3,2,3,4,3,3,4,3,1,3,1,3,1,1,2,3,2,2,2,4,3,3,2,1,1,3,1,1,2,2,3,3,2,3,3,4,4,4,5,5,5,4,4,5,4,5,5,4,5,4,49,45-54,Female,#NULL!,"$50,000 - $79,999",Married,White,Full-time work,University/Higher Education,Pennsylvania,Northeast
238,I worked in an office environment some of the time,"Financial Services (e.g. Banking, Insurance, FinTech, Private Equity)",,Executive Leadership,Full time (5 days) working remotely,5,5,4,5,4,5,5,5,4,5,4,4,4,4,4,5,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,5,4,5,4,5,5,4,4,4,4,4,5,4,5,5,4,4,5,5,4,4,4,5,5,4,4,4,5,4,4,4,5,4,4,3,3,4,38,35-44,Male,Owned apartment,"$150,000 - $199,999",#NULL!,White,Full-time work,University/Higher Education,North Carolina,South
239,I worked in an office environment all of the time,"Management Advisory (e.g. Accounting, Consulting, Business Services, Real Estate, Development)",,Manager,Full time (5 days) working remotely,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,5,5,4,5,4,5,5,5,4,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5,4,5,5,4,4,5,5,5,5,5,4,5,5,5,4,5,5,4,5,4,5,5,5,5,4,5,5,4,5,40,35-44,Male,Owned house,"$50,000 - $79,999",Married,White,Full-time work,Postgraduate Education,North Carolina,South
240,I worked in an office environment some of the time,"Education (e.g. Primary Education, Secondary Education, Post-graduate Education)",,Executive Leadership,Full time (5 days) working remotely,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,3,5,5,4,5,4,4,4,4,5,5,5,4,5,5,4,4,5,3,4,2,4,4,5,5,5,4,5,3,5,3,4,4,5,4,5,4,5,5,4,4,5,4,5,3,3,4,4,2,5,27,25-34,Female,Rented apartment,"$25,000 - $49,999",Single / Never married,Hispanic or Latino,Full-time work,High school/Tertiary/Tech. College,Texas,South
241,I worked in an office environment all of the time,"Government / Defense (e.g. Government Agencies, Defense Contractors, Intelligence, Federal Civilian)",,Professional Staff,Full time (5 days) working remotely,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,4,4,5,3,4,4,4,4,5,5,5,5,4,5,5,4,3,4,3,3,4,4,3,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,51,45-54,Male,Owned house,"$100,000 - $149,999",Married,Asian,Full-time work,High school/Tertiary/Tech. College,Washington,West
242,I worked in an office environment some of the time,"Government / Defense (e.g. Government Agencies, Defense Contractors, Intelligence, Federal Civilian)",,Administrative or Support Staff,Full time (5 days) working remotely,2,4,4,3,4,4,2,4,3,4,3,3,2,2,2,4,4,3,4,2,2,3,4,3,4,4,2,3,2,4,3,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,4,4,3,3,4,4,4,4,4,4,4,3,3,3,3,4,3,3,46,45-54,Female,Rented house,"$25,000 - $49,999",Married,White,Full-time work,University/Higher Education,Ohio,Midwest
244,I worked in an office environment some of the time,"Education (e.g. Primary Education, Secondary Education, Post-graduate Education)",,Professional Staff,Full-time (5 days) in the office,4,5,4,4,5,5,3,5,4,4,4,4,5,5,4,4,4,5,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,5,3,2,4,3,2,3,4,4,4,4,3,4,4,3,3,4,4,5,4,4,5,2,4,3,4,4,5,5,4,26,25-34,Female,Rented apartment,"$80,000 - $99,999",Married,White,Full-time work,University/Higher Education,Wisconsin,Midwest
245,I worked in an office environment all of the time,"Management Advisory (e.g. Accounting, Consulting, Business Services, Real Estate, Development)",,Director,Full time (5 days) working remotely,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,4,5,4,4,4,4,4,3,3,3,4,5,5,4,4,3,4,4,4,4,4,4,4,4,4,2,4,4,4,3,4,4,3,3,3,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,3,4,41,35-44,Male,Rented apartment,"$25,000 - $49,999",Single / Never married,White,Full-time work,University/Higher Education,New York,Northeast
248,I worked in an office environment all of the time,"Financial Services (e.g. Banking, Insurance, FinTech, Private Equity)",,Administrative or Support Staff,Full-time (5 days) in the office,1,4,1,1,4,2,2,2,2,4,3,2,2,2,3,1,3,1,3,2,4,2,2,2,3,2,3,2,2,4,2,3,3,2,4,3,4,4,4,4,2,2,2,3,2,3,2,4,4,3,4,4,4,3,4,4,2,4,3,4,4,2,3,3,4,4,3,3,45,45-54,Male,Owned house,"$50,000 - $79,999",Married,Hispanic or Latino,Full-time work,Postgraduate Education,Georgia,South
